Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-05-22,0.0,45.0,40.0,5,22,0,0,55.0,0.0,235.5,119.5,222.0,331.0,810.5,396.0,673.0,1,0,0,0,0,0,0
2023-05-23,170.0,648.0,383.0,5,23,0,0,0.0,0.0,0.0,40.0,375.0,135.0,45.0,1430.7,208.5,0,1,0,0,0,0,0
2023-05-24,0.0,145.0,275.0,5,24,0,0,170.0,0.0,41.0,383.0,219.0,913.0,648.0,648.0,706.0,0,0,1,0,0,0,0
2023-05-25,0.0,207.0,396.5,5,25,0,0,0.0,0.0,133.5,275.0,631.0,115.0,145.0,761.0,527.0,0,0,0,1,0,0,0
2023-05-26,0.0,726.7,254.0,5,26,1,0,0.0,238.0,0.0,396.5,434.0,371.0,207.0,558.0,0.0,0,0,0,0,1,0,0
2023-05-27,75.0,111.0,240.5,5,27,1,0,0.0,41.0,230.0,254.0,346.0,115.0,726.7,963.0,1201.5,0,0,0,0,0,1,0
2023-05-28,93.0,748.0,471.0,5,28,0,0,75.0,55.0,138.0,240.5,119.5,706.0,111.0,810.5,462.0,0,0,0,0,0,0,1
2023-05-29,140.0,190.0,30.0,5,29,0,0,93.0,0.0,78.5,471.0,40.0,495.0,748.0,45.0,499.0,1,0,0,0,0,0,0
2023-05-30,0.0,250.0,362.0,5,30,0,0,140.0,170.0,210.0,30.0,383.0,802.0,190.0,648.0,329.0,0,1,0,0,0,0,0
2023-05-31,0.0,80.0,510.0,5,31,0,0,0.0,0.0,0.0,362.0,275.0,926.0,250.0,145.0,300.0,0,0,1,0,0,0,0
2023-06-01,0.0,95.0,55.0,6,1,0,0,0.0,0.0,394.0,510.0,396.5,527.5,80.0,207.0,1386.0,0,0,0,1,0,0,0
2023-06-02,340.0,533.9,10.0,6,2,1,0,0.0,0.0,0.0,55.0,254.0,515.0,95.0,726.7,1760.0,0,0,0,0,1,0,0
2023-06-03,223.0,701.0,420.0,6,3,1,0,340.0,75.0,548.0,10.0,240.5,511.0,533.9,111.0,659.0,0,0,0,0,0,1,0
2023-06-04,195.0,458.5,1013.0,6,4,0,0,223.0,93.0,992.0,420.0,471.0,313.0,701.0,748.0,565.0,0,0,0,0,0,0,1
2023-06-05,0.0,46.0,587.0,6,5,0,0,195.0,140.0,330.0,1013.0,30.0,506.0,458.5,190.0,220.0,1,0,0,0,0,0,0
2023-06-06,0.0,48.0,130.0,6,6,0,0,0.0,0.0,85.0,587.0,362.0,811.0,46.0,250.0,47.0,0,1,0,0,0,0,0
2023-06-07,0.0,433.0,40.0,6,7,0,0,0.0,0.0,515.0,130.0,510.0,52.0,48.0,80.0,163.0,0,0,1,0,0,0,0
2023-06-08,0.0,205.0,78.0,6,8,0,0,0.0,0.0,210.0,40.0,55.0,60.0,433.0,95.0,874.0,0,0,0,1,0,0,0
2023-06-09,0.0,684.0,142.0,6,9,1,0,0.0,340.0,0.0,78.0,10.0,24.0,205.0,533.9,701.7,0,0,0,0,1,0,0
2023-06-10,0.0,326.0,118.0,6,10,1,0,0.0,223.0,0.0,142.0,420.0,373.0,684.0,701.0,1799.0,0,0,0,0,0,1,0
2023-06-11,96.0,91.75,40.0,6,11,0,0,0.0,195.0,18.0,118.0,1013.0,480.0,326.0,458.5,322.0,0,0,0,0,0,0,1
2023-06-12,0.0,556.0,305.0,6,12,0,0,96.0,0.0,138.0,40.0,587.0,600.0,91.75,46.0,369.0,1,0,0,0,0,0,0
2023-06-13,0.0,245.0,381.0,6,13,0,0,0.0,0.0,27.0,305.0,130.0,244.0,556.0,48.0,1085.0,0,1,0,0,0,0,0
2023-06-14,407.0,298.75,130.0,6,14,0,0,0.0,0.0,0.0,381.0,40.0,222.0,245.0,433.0,396.0,0,0,1,0,0,0,0
2023-06-15,401.0,120.0,412.5,6,15,0,0,407.0,0.0,0.0,130.0,78.0,375.0,298.75,205.0,1430.7,0,0,0,1,0,0,0
