Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,BreakFast,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m
2023-11-04,RevenueCenter_1,11,5,1,0,614.0,987.0,454.0,472.0
2023-11-05,RevenueCenter_1,11,6,0,0,244.0,614.0,500.0,420.0
2023-11-06,RevenueCenter_1,11,0,0,0,365.0,244.0,296.0,238.0
2023-11-07,RevenueCenter_1,11,1,0,0,199.0,365.0,377.5,505.0
2023-11-08,RevenueCenter_1,11,2,0,0,950.0,199.0,274.0,257.8
2023-11-09,RevenueCenter_1,11,3,0,0,531.5,950.0,678.0,168.0
2023-11-10,RevenueCenter_1,11,4,1,0,1415.0,531.5,987.0,204.9
2023-11-11,RevenueCenter_1,11,5,1,0,1073.0,1415.0,614.0,668.0
2023-11-12,RevenueCenter_1,11,6,0,0,1921.0,1073.0,244.0,511.4
2023-11-13,RevenueCenter_1,11,0,0,0,130.0,1921.0,365.0,748.3
2023-11-14,RevenueCenter_1,11,1,0,0,492.0,130.0,199.0,1317.3
2023-11-15,RevenueCenter_1,11,2,0,0,932.0,492.0,950.0,365.3
2023-11-16,RevenueCenter_1,11,3,0,0,354.0,932.0,531.5,328.0
2023-11-17,RevenueCenter_1,11,4,1,0,908.0,354.0,1415.0,809.0
2023-11-18,RevenueCenter_1,11,5,1,0,1059.0,908.0,1073.0,734.0
2023-11-19,RevenueCenter_1,11,6,0,0,1110.0,1059.0,1921.0,411.0
2023-11-20,RevenueCenter_1,11,0,0,0,577.0,1110.0,130.0,1157.0
2023-11-21,RevenueCenter_1,11,1,0,0,864.5,577.0,492.0,405.0
2023-11-22,RevenueCenter_1,11,2,0,0,665.0,864.5,932.0,255.0
2023-11-23,RevenueCenter_1,11,3,0,0,850.0,665.0,354.0,592.0
2023-11-24,RevenueCenter_1,11,4,1,0,594.0,850.0,908.0,242.0
2023-11-25,RevenueCenter_1,11,5,1,0,448.0,594.0,1059.0,20.0
2023-11-26,RevenueCenter_1,11,6,0,0,1057.0,448.0,1110.0,575.0
2023-11-27,RevenueCenter_1,11,0,0,0,272.0,1057.0,577.0,454.0
2023-11-28,RevenueCenter_1,11,1,0,0,240.0,272.0,864.5,500.0
2023-11-29,RevenueCenter_1,11,2,0,0,1420.0,240.0,665.0,296.0
2023-11-30,RevenueCenter_1,11,3,0,0,1795.0,1420.0,850.0,377.5
2023-12-01,RevenueCenter_1,12,4,1,0,1437.0,1795.0,594.0,274.0
2023-12-02,RevenueCenter_1,12,5,1,1,2189.0,1437.0,448.0,678.0
2023-12-03,RevenueCenter_1,12,6,0,1,110.0,2189.0,1057.0,987.0
2023-12-04,RevenueCenter_1,12,0,0,0,375.0,110.0,272.0,614.0
2023-12-05,RevenueCenter_1,12,1,0,0,128.0,375.0,240.0,244.0
2023-12-06,RevenueCenter_1,12,2,0,0,1393.0,128.0,1420.0,365.0
2023-12-07,RevenueCenter_1,12,3,0,0,191.0,1393.0,1795.0,199.0
2023-12-08,RevenueCenter_1,12,4,1,0,521.0,191.0,1437.0,950.0
2023-12-09,RevenueCenter_1,12,5,1,0,785.0,521.0,2189.0,531.5
2023-12-10,RevenueCenter_1,12,6,0,0,1837.0,785.0,110.0,1415.0
2023-12-11,RevenueCenter_1,12,0,0,0,443.0,1837.0,375.0,1073.0
2023-12-12,RevenueCenter_1,12,1,0,0,347.5,443.0,128.0,1921.0
2023-12-13,RevenueCenter_1,12,2,0,0,519.0,347.5,1393.0,130.0
2023-12-14,RevenueCenter_1,12,3,0,0,563.0,519.0,191.0,492.0
2023-12-15,RevenueCenter_1,12,4,1,0,211.0,563.0,521.0,932.0
2023-12-16,RevenueCenter_1,12,5,1,0,340.0,211.0,785.0,354.0
2023-12-17,RevenueCenter_1,12,6,0,0,582.0,340.0,1837.0,908.0
2023-12-18,RevenueCenter_1,12,0,0,0,469.0,582.0,443.0,1059.0
2023-12-19,RevenueCenter_1,12,1,0,0,123.0,469.0,347.5,1110.0
