Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,Lunch,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m
2023-09-10,RevenueCenter_1,9,6,0,0,445.0,267.0,205.0,523.0
2023-09-11,RevenueCenter_1,9,0,0,0,222.0,445.0,360.0,796.0
2023-09-12,RevenueCenter_1,9,1,0,0,1151.0,222.0,122.0,320.0
2023-09-13,RevenueCenter_1,9,2,0,0,344.0,1151.0,180.0,610.0
2023-09-14,RevenueCenter_1,9,3,0,0,785.0,344.0,355.0,1300.0
2023-09-15,RevenueCenter_1,9,4,1,0,936.0,785.0,495.0,667.0
2023-09-16,RevenueCenter_1,9,5,1,0,534.0,936.0,267.0,915.0
2023-09-17,RevenueCenter_1,9,6,0,0,524.0,534.0,445.0,575.0
2023-09-18,RevenueCenter_1,9,0,0,0,1120.0,524.0,222.0,0.0
2023-09-19,RevenueCenter_1,9,1,0,0,975.9,1120.0,1151.0,160.0
2023-09-20,RevenueCenter_1,9,2,0,0,567.5,975.9,344.0,939.0
2023-09-21,RevenueCenter_1,9,3,0,0,843.0,567.5,785.0,135.0
2023-09-22,RevenueCenter_1,9,4,1,0,671.0,843.0,936.0,505.0
2023-09-23,RevenueCenter_1,9,5,1,0,1665.0,671.0,534.0,43.0
2023-09-24,RevenueCenter_1,9,6,0,0,153.0,1665.0,524.0,589.5
2023-09-25,RevenueCenter_1,9,0,0,0,0.0,153.0,1120.0,542.0
2023-09-26,RevenueCenter_1,9,1,0,0,713.0,0.0,975.9,880.0
2023-09-27,RevenueCenter_1,9,2,0,0,205.0,713.0,567.5,1177.0
2023-09-28,RevenueCenter_1,9,3,0,0,411.0,205.0,843.0,201.0
2023-09-29,RevenueCenter_1,9,4,1,0,765.0,411.0,671.0,90.0
2023-09-30,RevenueCenter_1,9,5,1,0,1747.0,765.0,1665.0,856.0
2023-10-01,RevenueCenter_1,10,6,0,0,142.0,1747.0,153.0,240.0
2023-10-02,RevenueCenter_1,10,0,0,0,118.0,142.0,0.0,1377.0
2023-10-03,RevenueCenter_1,10,1,0,0,220.0,118.0,713.0,205.0
2023-10-04,RevenueCenter_1,10,2,0,0,613.0,220.0,205.0,360.0
2023-10-05,RevenueCenter_1,10,3,0,0,180.0,613.0,411.0,122.0
2023-10-06,RevenueCenter_1,10,4,1,0,254.0,180.0,765.0,180.0
2023-10-07,RevenueCenter_1,10,5,1,0,247.0,254.0,1747.0,355.0
2023-10-08,RevenueCenter_1,10,6,0,0,337.0,247.0,142.0,495.0
2023-10-09,RevenueCenter_1,10,0,0,0,651.0,337.0,118.0,267.0
2023-10-10,RevenueCenter_1,10,1,0,0,546.0,651.0,220.0,445.0
2023-10-11,RevenueCenter_1,10,2,0,0,450.0,546.0,613.0,222.0
2023-10-12,RevenueCenter_1,10,3,0,0,214.0,450.0,180.0,1151.0
2023-10-13,RevenueCenter_1,10,4,1,0,136.0,214.0,254.0,344.0
2023-10-14,RevenueCenter_1,10,5,1,0,653.5,136.0,247.0,785.0
2023-10-15,RevenueCenter_1,10,6,0,0,902.5,653.5,337.0,936.0
2023-10-16,RevenueCenter_1,10,0,0,0,626.4,902.5,651.0,534.0
2023-10-17,RevenueCenter_1,10,1,0,0,461.0,626.4,546.0,524.0
2023-10-18,RevenueCenter_1,10,2,0,0,1001.0,461.0,450.0,1120.0
2023-10-19,RevenueCenter_1,10,3,0,0,467.0,1001.0,214.0,975.9
2023-10-20,RevenueCenter_1,10,4,1,0,951.0,467.0,136.0,567.5
2023-10-21,RevenueCenter_1,10,5,1,0,748.0,951.0,653.5,843.0
2023-10-22,RevenueCenter_1,10,6,0,0,280.0,748.0,902.5,671.0
2023-10-23,RevenueCenter_1,10,0,0,0,730.0,280.0,626.4,1665.0
2023-10-24,RevenueCenter_1,10,1,0,0,125.0,730.0,461.0,153.0
2023-10-25,RevenueCenter_1,10,2,0,0,502.0,125.0,1001.0,0.0
2023-10-26,RevenueCenter_1,10,3,0,0,750.0,502.0,467.0,713.0
2023-10-27,RevenueCenter_1,10,4,1,0,396.0,750.0,951.0,205.0
2023-10-28,RevenueCenter_1,10,5,1,0,135.0,396.0,748.0,411.0
2023-10-29,RevenueCenter_1,10,6,0,0,188.0,135.0,280.0,765.0
2023-10-30,RevenueCenter_1,10,0,0,0,40.0,188.0,730.0,1747.0
2023-10-31,RevenueCenter_1,10,1,0,0,160.0,40.0,125.0,142.0
2023-11-01,RevenueCenter_1,11,2,0,0,2941.0,160.0,502.0,118.0
2023-11-02,RevenueCenter_1,11,3,0,0,383.0,2941.0,750.0,220.0
2023-11-03,RevenueCenter_1,11,4,1,0,678.0,383.0,396.0,613.0
2023-11-04,RevenueCenter_1,11,5,1,0,462.0,678.0,135.0,180.0
2023-11-05,RevenueCenter_1,11,6,0,0,844.0,462.0,188.0,254.0
2023-11-06,RevenueCenter_1,11,0,0,0,125.0,844.0,40.0,247.0
2023-11-07,RevenueCenter_1,11,1,0,0,563.0,125.0,160.0,337.0
2023-11-08,RevenueCenter_1,11,2,0,0,736.0,563.0,2941.0,651.0
2023-11-09,RevenueCenter_1,11,3,0,0,421.0,736.0,383.0,546.0
2023-11-10,RevenueCenter_1,11,4,1,0,1305.0,421.0,678.0,450.0
2023-11-11,RevenueCenter_1,11,5,1,0,1563.0,1305.0,462.0,214.0
2023-11-12,RevenueCenter_1,11,6,0,0,1029.0,1563.0,844.0,136.0
2023-11-13,RevenueCenter_1,11,0,0,0,670.0,1029.0,125.0,653.5
2023-11-14,RevenueCenter_1,11,1,0,0,733.0,670.0,563.0,902.5
2023-11-15,RevenueCenter_1,11,2,0,0,945.5,733.0,736.0,626.4
2023-11-16,RevenueCenter_1,11,3,0,0,360.0,945.5,421.0,461.0
2023-11-17,RevenueCenter_1,11,4,1,0,631.5,360.0,1305.0,1001.0
2023-11-18,RevenueCenter_1,11,5,1,0,291.0,631.5,1563.0,467.0
2023-11-19,RevenueCenter_1,11,6,0,0,977.0,291.0,1029.0,951.0
2023-11-20,RevenueCenter_1,11,0,0,0,631.0,977.0,670.0,748.0
2023-11-21,RevenueCenter_1,11,1,0,0,601.5,631.0,733.0,280.0
2023-11-22,RevenueCenter_1,11,2,0,0,405.0,601.5,945.5,730.0
2023-11-23,RevenueCenter_1,11,3,0,0,255.0,405.0,360.0,125.0
2023-11-24,RevenueCenter_1,11,4,1,0,328.0,255.0,631.5,502.0
2023-11-25,RevenueCenter_1,11,5,1,0,1040.0,328.0,291.0,750.0
2023-11-26,RevenueCenter_1,11,6,0,0,472.0,1040.0,977.0,396.0
2023-11-27,RevenueCenter_1,11,0,0,0,370.0,472.0,631.0,135.0
2023-11-28,RevenueCenter_1,11,1,0,0,686.0,370.0,601.5,188.0
2023-11-29,RevenueCenter_1,11,2,0,0,110.0,686.0,405.0,40.0
2023-11-30,RevenueCenter_1,11,3,0,0,1058.0,110.0,255.0,160.0
2023-12-01,RevenueCenter_1,12,4,1,0,503.0,1058.0,328.0,2941.0
2023-12-02,RevenueCenter_1,12,5,1,1,349.0,503.0,1040.0,383.0
2023-12-03,RevenueCenter_1,12,6,0,1,665.0,349.0,472.0,678.0
2023-12-04,RevenueCenter_1,12,0,0,0,635.25,665.0,370.0,462.0
2023-12-05,RevenueCenter_1,12,1,0,0,827.0,635.25,686.0,844.0
2023-12-06,RevenueCenter_1,12,2,0,0,129.0,827.0,110.0,125.0
2023-12-07,RevenueCenter_1,12,3,0,0,1661.0,129.0,1058.0,563.0
2023-12-08,RevenueCenter_1,12,4,1,0,314.0,1661.0,503.0,736.0
2023-12-09,RevenueCenter_1,12,5,1,0,25.0,314.0,349.0,421.0
2023-12-10,RevenueCenter_1,12,6,0,0,336.0,25.0,665.0,1305.0
2023-12-11,RevenueCenter_1,12,0,0,0,518.5,336.0,635.25,1563.0
2023-12-12,RevenueCenter_1,12,1,0,0,400.0,518.5,827.0,1029.0
2023-12-13,RevenueCenter_1,12,2,0,0,410.0,400.0,129.0,670.0
2023-12-14,RevenueCenter_1,12,3,0,0,755.0,410.0,1661.0,733.0
2023-12-15,RevenueCenter_1,12,4,1,0,185.0,755.0,314.0,945.5
2023-12-16,RevenueCenter_1,12,5,1,0,0.0,185.0,25.0,360.0
2023-12-17,RevenueCenter_1,12,6,0,0,330.0,0.0,336.0,631.5
2023-12-18,RevenueCenter_1,12,0,0,0,161.0,330.0,518.5,291.0
2023-12-19,RevenueCenter_1,12,1,0,0,677.5,161.0,400.0,977.0
2023-12-20,RevenueCenter_1,12,2,0,0,165.5,677.5,410.0,631.0
2023-12-21,RevenueCenter_1,12,3,0,0,350.0,165.5,755.0,601.5
2023-12-22,RevenueCenter_1,12,4,1,0,163.0,350.0,185.0,405.0
2023-12-23,RevenueCenter_1,12,5,1,0,284.0,163.0,0.0,255.0
2023-12-24,RevenueCenter_1,12,6,0,0,178.0,284.0,330.0,328.0
